id,search_term,title,price,currency,category,brand,condition,gender,url,transformation_timestamp
2654,new aeropostale coats mens,aeropostale men’s xl denim parka jacket coat zip army olive green msrp $89.50,65.0,USD,coats,,New with tags,men,https://www.ebay.com/itm/297190428609?_skw=new+aeropostale+coats+mens&hash=item4531ee0fc1:g:TY0AAOSwaNpnPTVA,2025-06-11 18:51:37
2655,new aeropostale coats mens,aeropostale men`s s  blue puffer winter car  coat with hood new nwt,49.98,USD,coats,,New with tags,men,https://www.ebay.com/itm/311573246087?_skw=new+aeropostale+coats+mens&hash=item488b367087:g:RQYAAOxyK~hRHQ6V,2025-06-11 18:51:37
2656,new aeropostale coats mens,nwt aeropostale men's size med black midweight hooded fleece lined jacket,59.0,USD,jackets,,New with tags,men,https://www.ebay.com/itm/276773928399?_skw=new+aeropostale+coats+mens&hash=item407102fdcf:g:inQAAOSwVlBk-5BD,2025-06-11 18:51:37
2657,new aeropostale coats mens,fleece bomber jacket mens medium aeropostale sherpa lined,35.1,USD,jackets,,New with tags,men,https://www.ebay.com/itm/205495702636?_skw=new+aeropostale+coats+mens&hash=item2fd87f946c:g:hfwAAOSwzHVnnDnI&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5Uapo8dbOCOvxs%2FnXDyCLVWZ7wm%2F7DoaEvZuVzYNFQ9IsZZl66nyJCTK7zdPQqHpcUWkrjTnaPD78b7RfCcHkneWoe2VddiIYttya59Zd3vSvFpUeDrl%2FZmFCTU%2B6XMt9Gh6Auc5ZniOU91fy8GASB9jo1RVWdyagPXMRlVlJn4i3pxAf--WRJQWHLNjWvmXGbbpsVPdw%2BXCRyyh5Rp313uOU9hTkYlWa6iEtsJJPOpxWJ60hZbTm7QugF7ZZmLiRRMUTb2B6LwFLPsm5zNk%2FWR%2Fxn5STZET1Hq8dmdIC%2Bl81w%3D%3D,2025-06-11 18:51:37
2658,new aeropostale coats mens,mens guys aeropostale brooklyn calling plaid jacket size m nwt #4836,34.99,USD,jackets,,New with tags,men,https://www.ebay.com/itm/272366233379?_skw=new+aeropostale+coats+mens&hash=item3f6a4ae723:g:rxsAAOSwZjJU34OC&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UYiEXXa2ltMeE4uwiw8Xxn72UlHntEuJ5l%2B678fqho9XqnQ5cvK6wp%2BrKidB7oAWaTChW0VTjxlWfqdcoQVy%2BaFkkV4HO6imx1WqFwyFO4JCHCON5Sk8SP9v7csi15QG%2FuP5FFXUrbhns1bfOgYJpMHcBB7foN6Pdq3EsTIQPki8emab3NCZxsCZLGAW7WL82l5VAP9gP%2FI0ge2jcb3b1f3h9PPg6viXlbATbHOpp%2BkWRtr4RWeD7dNZMbmlS%2F3ErtxB89VG7Cvt0A6Yrt0dJPjbwbBkF1w0hSSsMUTEOH5KQ%3D%3D,2025-06-11 18:51:37
2659,new aeropostale coats womens,womens aeropostale wool plaid bomber jacket winter coat nwt #8053,39.99,USD,coats,,New with tags,womens,https://www.ebay.com/itm/222052013258?_skw=new+aeropostale+coats+womens&hash=item33b354d4ca:g:KUwAAOSwe1BZz5~h&amdata=enc%3AAQAKAAABAPeG5RIuIyokJHJy903%2F5UZlFVI%2B%2Bj8McCWJcbEwKqKDAWDArkUDU8sX6YS%2Ff%2FrSEeEpXioMsww5jFWAn2QG0RxBTML5YhJq%2FkKCqsuCQUsqnTF9904zRxFowNAxnSHcfz2%2FB63nshtxI3S%2F8mH1iqTwlDHndQWB5gxARHd31l2e32hL2c268FFMe4jPX76wi4nLCeXuW0txzFTRonSo2QIPt7E48b9ipqXzelZX9ymvmGaWoIH%2Fy2HxIyqZRHtrLtA%2BoTrsP1%2FLRJ1EWCkjIIK2Ooigv41yxkplK%2FNFgYsL3N9tgxr4jQFi4CYz2D8AfEMhEr1ZmIApvvrvROYd4lU%3D,2025-06-11 18:51:37
2660,new aeropostale coats womens,womens aeropostale belted fur-trim puffer coat jacket nwt #8307,59.99,USD,coats,,New with tags,womens,https://www.ebay.com/itm/276835985451?_skw=new+aeropostale+coats+womens&hash=item4074b5e82b:g:iO0AAOSwV1Vb2lmK&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UaonJKJAg2KCWPP7PkAD9NXN%2BBMtOdeN54zck6QVcByRH8gOYfcY%2BBZgAWDM4AhOAEcVv2XI6qwtFEqRKC6vs1Tvp14g%2B12u%2BrmIOGtTLwxHIvjrrxgPimlAbHxElCt8cr9R7wV0XEdaWGoTUTqM2g239zPNacER6C4UFRQlYfSI42L%2BIq9HMAaHXmTdnALT86FDpLmqrvlfLe09FRoWb40lxHERXPPqyHihzUbBvCNfnEomxg19L5bjfJ9YCzh5wawYptxo4SfaRFTRGDzDk5ypmrknDJrNWob5mc%2F9urK4g%3D%3D,2025-06-11 18:51:37
2661,new aeropostale coats womens,womens aeropostale hooded solid pea coat peacoat jacket nwt $119.50 #8709,39.99,USD,coats,,New with tags,womens,https://www.ebay.com/itm/222165257624?_skw=new+aeropostale+coats+womens&hash=item33ba14cd98:g:25IAAOSwoudW2-si&amdata=enc%3AAQAKAAABAPeG5RIuIyokJHJy903%2F5UaTsObnmUVzbW3OorIFHUrCecb1hYngGERQdZWIUTHJPaRRRRYS2OY5TEajIdItNmgLPm%2Bv6mwBHnHUU1q3yHYbUUvgXlEM0h7b13%2BH4eZB07kc%2BF08Y09Cj745YOdxOZ8FSCYw1UFf%2FrGWnv6x7ZY8w2I7bsipXGtJaI7uMg8nh0X5tO4Alt5jGDFh%2FdW4JeGfMMBj%2FzK9eQXGkcQZJJV%2Flh4QKADirJhXo8VjfYtdM0733VFcOX6QZPH0cVNqJ4hmMaCzXj8rt2a6pKCElLjuWsW9YT6unpFxV2KUc18fseq28r%2BJuFiyS1SoEzBjIxc%3D,2025-06-11 18:51:37
2662,new aeropostale coats womens,aeropostale coat jacket womens large blue long sleeve casual button up,29.74,USD,coats,,New with tags,womens,https://www.ebay.com/itm/276077537552?_skw=new+aeropostale+coats+womens&hash=item404780e910:g:cYMAAOSwyn1lGjeI&amdata=enc%3AAQAKAAABAPeG5RIuIyokJHJy903%2F5UafCu3ilH5QqVgEJlpIptYkn8%2FB%2F8EWp0%2Bv3U5jiISFLDftzoELWBOn%2FpdFEEAcpgGSPml1%2BJLMoMteO8lg0GVHtjiLjkCi84%2F7ErHYZFKqFkqtqn1QfUl4eCkwdTFdx1lBDQoQfc2%2F3tL3N7b6v5QJX7YMBBiVDIm8XpUvoBPyQlmVPMTidDSw2wO63TC6vK6Z2rrohrK%2BTrt0631z91ixlkMSvtflu2rBL2lGkbmR9LPMdoIxk7wggEWJ7udq6pw2oUo%2BzyO54NiCRnvWIJ8By%2Blf1h9cyix0sy7SJsei%2BGcKcTgqudn%2Bsalo1qPvYyg%3D,2025-06-11 18:51:37
2663,new aeropostale coats womens,aeropostale khaki lightweight twill parka jacket jr size large relaxed fit nwt,26.24,USD,jackets,,New with tags,,https://www.ebay.com/itm/126570693650?_skw=new+aeropostale+coats+womens&hash=item1d78338412:g:iKcAAOSwqI5bdEDS,2025-06-11 18:51:37
2664,new aeropostale coats womens,aeropostale womens navy red lined hooded peacoat pea coat winter jacket coat nwt,34.99,USD,coats,,New with tags,womens,https://www.ebay.com/itm/222393956752?_skw=new+aeropostale+coats+womens&hash=item33c7b67990:g:3B4AAOSwJkJWh0NR,2025-06-11 18:51:37
2665,new aeropostale coats womens, nwot womens aeropostale authentic brand 1987 black puffer coat size medium nice,15.99,USD,coats,,New without tags,womens,https://www.ebay.com/itm/356501121308?_skw=new+aeropostale+coats+womens&hash=item53011f691c:g:VsAAAOSwf6Vnk-wQ,2025-06-11 18:51:37
2666,new aeropostale coats womens,nwt aeropostale ruby faux fur trim corduroy bomber jacket ,34.99,USD,jackets,,New with tags,,https://www.ebay.com/itm/121222219296?_skw=new+aeropostale+coats+womens&hash=item1c39684620:g:UEEAAOxyRNJSkmpL,2025-06-11 18:51:37
2667,new aeropostale coats womens,womens aeropostale navy blue solid pea coat peacoat jacket size l nwt #8302,39.99,USD,coats,,New with tags,womens,https://www.ebay.com/itm/222052998660?_skw=new+aeropostale+coats+womens&hash=item33b363de04:g:l0AAAOSwreVZz-vj&amdata=enc%3AAQAKAAABAPeG5RIuIyokJHJy903%2F5UYpuDmtUAf%2FI5VEDa9PP4TP3l6dXY%2FlQo1%2FY1qPErplFf9KlMuUdR83V%2BoO2EAspyA6xGs9SU3EOmqHxoUuJiDEIcu5fx9zfJpub3QPl%2BEmf8xTp8%2BdEF3KEFTUHf6ttWIxRh3hI%2BcsUeSoPF6OkyY1kRB9xFV1YT1mBWB4kxKV5HMhnDPt%2BBNlYzKqp6xd30vWBULSiaPwhPhqryvpxdUbVxe%2FqVdPw9HaOfGXyGIcWXLcO%2FzDm2wOs%2By16rH8SIrdPyRhsq1F92CwNdWz%2Bdp5BLGJPTBDMJZE4zvsE8xkA%2FlT%2BZOhDdmPmeSpbdc8j24%3D,2025-06-11 18:51:37
