id,search_term,title,price,currency,category,brand,condition,url
22,new adidas shoes unisex,adidas ORIGINALS UNISEX MATCHBREAK SUPER SHOES SKATEBOARDING TRAINERS SNEAKERS,43.55,USD,,,New with box,https://www.ebay.com/itm/226598183253?_skw=new+adidas+shoes+unisex&hash=item34c24de155:g:sHsAAeSwc~Jnr1j1&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5Ub79KEVmY1sR6NYGgAvvwVU9PXyHXdIz%2FLdPqmTi5KzslsfdzH3Bm2g7GwpPhPqikAS9Hk929AGtSphalGAid08iqmhkTw70yxUTXsbE8qUbDVVuZ3djtmj74AipDIK9tsT9QoA9u89PBAlxEfSWNtZ%2B9ee78BDxYe5AoEnOkRthQ5O86GsAM7UIfW%2F4Hfw0zxYnK%2F7ir7LI7b4LsEDb%2B--HwjJXX4QP8fVPwzhKmny9EAQKAfShQngUakfDecsJr0YLSrkI1R8%2F%2BnkbL%2BSWo05qJ2fe8uyqL3dFeLj5%2FaEbQ%3D%3D
23,new adidas shoes unisex,adidas Kids' Lite Racer Adapt 7.0 Shoes Grey/Multicolor Sizs 12K,31.99,USD,,,New with box,https://www.ebay.com/itm/167553050624?_skw=new+adidas+shoes+unisex&hash=item2702f0a800:g:274AAeSwvw5oOxCX&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UY2ee%2FfxARCtmMwbcuLmiEuJ3J%2BOk4xTVqM7UwfEaO2Mugs4R%2FlUfSw1napXb0Ywf0RWs3cAf%2BLQOy7JJdiEOiZNf6zdTYGiR1IqnDAf1tg2nVPRbnjY1zCw0fh49F9Wzwg95vlchbnYH%2BzfMdm5U0TGICxtB66UQ0QsSIRyTd6DgvA%2F6ZkHcA5ZF91vBx40KaXyQuTOqkM7N4sjizMLeO8zQEnRvfYGAA2g7UA2IUNwGareFj%2BXcWPJvISZLwzovWVFvoH9b31gFvudWXF47rrzi5QV4vMoqHXLct8K41tGQ%3D%3D
24,new adidas shoes unisex,Adidas Originals JAPAN Black/Footwear White/Gold IH5490 Unisex shoes NEW! F/S,150.55,USD,,,New with box,https://www.ebay.com/itm/226395497943?_skw=new+adidas+shoes+unisex&hash=item34b63925d7:g:ydcAAOSwx9pnCe7f
25,new adidas shoes unisex,Adidas Superstar J Big Kids Shoes Running White Ftw-Core Black c77154,48.97,USD,,,New with box,https://www.ebay.com/itm/235747898637?_skw=new+adidas+shoes+unisex&hash=item36e3ab750d:g:pZgAAOSwdtNkSwyE
26,new adidas shoes unisex,Adidas Superstar Little Kids' Shoes Cloud White/Core Black fu7714,45.47,USD,,,New with box,https://www.ebay.com/itm/234990286470?_skw=new+adidas+shoes+unisex&hash=item36b6833686:g:Y3YAAOSwWeZkS3hq
27,new adidas shoes unisex,Adidas Samba Kids Unisex Boys Girls Indoor Soccer Shoes White Black All Sizes,70.00,USD,,,New with box,https://www.ebay.com/itm/396315570442?_skw=new+adidas+shoes+unisex&hash=item5c463fb10a:g:QHgAAOSwX2Jn9o8p
28,new adidas shoes unisex,New Adidas Superstar KoRn Shoes - Core Black (IH1313),141.89,USD,,,New with tags,https://www.ebay.com/itm/405854505918?_skw=new+adidas+shoes+unisex&hash=item5e7ed04bbe:g:rCYAAOSwojVnzC22&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UZ%2B1tVT85egJR%2FuK6d0XjIGfua7ZMlfj0QlaDPbveM0WAURTQH2sSvpbMe2FcGjnTaj3t9b%2FjvXG9aRa0xu45vcamSjyoHFdDKNXeRvlUXLmMMcJqXoHJGDVTr3EOasiqeVGXUkIFFiSnLTGsQ10Q9CE6lEoqVfu3mFL8X0j7Pw3WcO8SjUaVm%2Fp9JKoOD1d6obYMvkWeGSY9M5RnIHnGudUZpFY8P1QuZYmGBqKxOjPfTxcuRlMEGUj7M2qp5O3n8hRmNi6yG%2BO%2BQH1weMSEWQlaNFa1zaMdS0qgNhKchL6Q%3D%3D
29,new adidas shoes unisex,"Adidas Supernova + Running Shoe, White, Size 6 Unisex, Big Kid",36.22,USD,,,New without box,https://www.ebay.com/itm/266860656706?_skw=new+adidas+shoes+unisex&hash=item3e22227842:g:J6cAAOSw4jpjWv5t&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UajapvsKwWjHMao54U8tjsReY2Ky05s%2FO3nxRppqqeMZXUX2H%2Ff%2BjQE1WInS%2BfBbtHJvyv%2FyCH67P%2BEDGQVTxpCB8tw8qCxWdeDL0EyV998c9rbUzwxq5V90HRHCGa934iEZGl55gYdfK3mogaFUm7Ut%2B%2FmSN7yDJj%2FsR6rpZ3IFXtgpbvJFT6l6wLx5Fi%2FMo77sY%2BZV79JlaMXYpItHNLkgRdOBckcqhOW1h3JZZWdM6ToLf62anged50egLqh%2F7zy2ewVIKPM7PgLvrCelQkrcadQsEur5gSVCnPXdOK52w%3D%3D
30,new reebok shoes mens,Reebok Work Ketia RB4895 Mens Black Wide Leather Athletic Work Shoes,41.99,USD,,,New with box,https://www.ebay.com/itm/316046168979?_skw=new+reebok+shoes+mens&hash=item4995d1d393:g:2LIAAOSwpAVngFpk&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UZRoAxkInhX2ad9W6Ayjdg5hzxsU2SyZ65MRtD6c2z1I70vESeNVS%2B%2BHMSrXizMyG30ZHAn%2BG0GGOOmLEXwcDaCm295yXEF5STnnWIbIZi8IyfbF95KPjM0e9qxNmPYRyiGhX3qeZhWOvELgCsojtJl2hhOW5sM2miC5TXoJbD5eTo5BHHTP0X%2FaGNchRbVPfbyeV3iEqH1WcYVhADu0iynnpf%2BLcp4XtuRmTdT%2B3DxXDpG3boNKM9oYbywAlq4hu%2FghIx7s%2BjY9HbUbYYWPV0%2Bf1qLv1FDGpEuuKIZUwbQkQ%3D%3D
31,new reebok shoes mens,Reebok Work Astroride Strike RB4671 Mens Gray Wide Athletic Work Shoes,39.99,USD,,,New with box,https://www.ebay.com/itm/305971735158?_skw=new+reebok+shoes+mens&hash=item473d562a76:g:YvEAAOSwzuVnitvA&amdata=enc%3AAQAKAAAA8PeG5RIuIyokJHJy903%2F5UYyEN9UQh11Z%2F3ZC6VaWhP5DtLEf8V7lLZESWxeDtu6O83h8Ct7XdlXOihTM6KTI91I7%2B31n8Ghvg943HFz0E%2BCwWFVLNykB8yjlPLSzyEAd5ZChi%2Bvm7NE4FLJJEqcmDyIk7QAHlV5IwZngNny9%2Fj60rlHnY1QJ1LnoyIHZGj4r2eUVX16M5IaXhTbRCTV7SNJ6QfbtJTs4qQzjfCsolhwff61Ps1VaDzWjCMmS7dOrLkQcZcfwl0SKmtZgwuVoK431ATqWGhiFCcfP3e9uKXUK%2B2up93Pbd3EXZEbtmtDEA%3D%3D
